Crop,Question,Answer
cassava,can I control pests and diseases in cassava by spraying?,Yes
beans,can I do re planting in beans,Yes
maize,can I hearvest maize when it has just started drying?,"No, let all the maize first dry"
maize,can I plant hybrid without spraying?,"No, hybrids are also attacked by pests and diseases"
maize,can I plant maize in a dry season,No except with irrigation
beans,can I plant trees in my beans,Yes
maize,can I put fertilizer when planting maize,Yes
cassava,can I spray cassava at any stage,Depends on what you are spraying
beans,can I spray weeds in my bean garden,Depends on what you are spraying
beans,can I use macozeb in spraying my beans,Depends on what you are controlling
cassava,can I use a chemical to kill weeds in my cassava garden?,"Yes, some herbicides are selective"
beans,can I use irrigation for beans?,"Yes, during the dry season"
maize,can I use irrigation for maize?,"Yes, irrigation is ok in dry season"
beans,can I use macozeb to spray my beans,"For fungal infections,.. May be"
maize,can I use soil to kill the caterpillars in the maize cob?,"No, soil does not kill caterpillars"
cassava,can I water my cassava garden in dry seasons?,"Yes, watering is good in dry weather"
beans,can I weed my garden only once after planting beans?,"No, you have to weed twice"
cassava,can a disease be transmitted to clean planting material if I use a knife used for peeling diseased cassava tubers,"Yes, its possible"
cassava,can a lot of plant cover affect cassava quality?,"Yes, a lot of plant cover affects cassava quality negatively"
cassava,can animals feed In cassava remains,Yes like pigs
cassava,can animals feed on cassava leaves,Yes if they are well dried
beans,can beans be pruned,No
cassava,can beans do well in same garden with cassava,Yes
cassava,can beans do well when inter cropped with cassava,Yes
cassava,can cassava be intercropped,Yes
cassava,can cassava be weeded when it develop roots,Using hands yes
cassava,can cassava cause sickness?,"Yes, if it has cyanide"
cassava,can cassava disease be carried through a stem?,"Yes, diseased stems are transported with the virus"
cassava,can cassava do well in a swamp,No
cassava,can cassava seeds be planted,Yes
cassava,can diseases remain in a cut stem?,Yes
beans,can maize be intercropped with beans,Yes
maize,can maize do well in a swap,If well drained
cassava,can mulching be done in cassava,Yes
beans,can pruning be carried out in beans,NO
maize,can pruning be done in maize,No
general,can rain water reduce power of chemical after spraying,Yes
cassava,can weeds affect the growth of cassava?,YesIt makes them small
cassava,carrying stems for fire wood can it spread further the disease,"Yes, they will reach some where and grow as virus spread"
maize,"caterpillars are eating the middle part of the maize, how can I stop it?",Spray with pesticides
cassava,do I need to dig the garden twice before planting?,"Yes, it creates a fine seed bed"
beans,do I need to replace beans with another plant the next season?,"Not really, however it's good to repalce with one from a different family to avoid same pests and diseases"
beans,do I need to wait for much rain to plant beans?,"No, planting beans should be at the start of the rains"
maize,do I put the fertilizer first before putting the maize seed,Yes or at planting
cassava,do cassava have seeds,Yes
cassava,do cassava mosaic affect only leaves,Even the roots
cassava,do cassava require pruning,Yes
cassava,do cassava seeds also germinate,Yes
cassava,do cassava seeds germinate,Yes
cassava,do l need to apply fertilizer in a cassava garden?,Not always but if the soil is limited it is advised to apply
beans,do spiders have any effect in beans,Yes some times they affect leaves and productivity
cassava,does cassava diseases affect only the leaves?,"Not really,cassava diseases affects both leaves,stems and roots.especially cassava mosaic disease and cassava brown streak disease"
cassava,does cassava green mite have any effect on the cassava tubers?,Yes it reduces yield
cassava,does cassava have seeds suitable for planting?,Cassava seeds are not suitable for planting but can germinate and be used to get cassava cuttings or stakes
cassava,does cassava have seeds?,Yes.
cassava,does cassava infections affect only the leaves?,No. Even the stems and roots
cassava,does cassava leaf infections have effects on the cassava tubers?,Yes they reduce the yield
cassava,does cassava leaves have cyanide?,Yes
cassava,does cassava mosaic affect only the leaves or even the tubers?,Makes them small
cassava,does cassava mosaic affect the cassava steams?,Affects mostly the leaves
cassava,does cassava need to be sprayed?,Mostly not
cassava,does fresh cassava add nutrition in the body?,Yes
maize,does holes on seeds affect it from germinating?,"Yes, seeds with holes may not germinate"
maize,does maize fix nitrogen in the soil,No
cassava,does prolonged drought affect cassava a lot?,Yes
cassava,does rain with stones affect cassava?,"Yes, it removes the leaves from the cassava plants and causes cassava roots to become bitter"
maize,does the yeild vary when I use hand plough and when I used something else?,"No, it does not vary as long as appropriate agronomic practices are followed"
maize,"dry maize and fresh maize, which one gives more money?",Fresh maize gives more money because the costs of post harvest handling are avoided
maize,ex which variety of maize seeds is resistant to Sunshine,"Drought tolerant maize such Longe 4, 2 etc"
beans,factors that makes beans seeds not to germinate,"Moisture, temperature and medium for growth"
maize,fertilizers used in maize,NPK and phosphate fertilizers
cassava,for how long do I need to dry my cassava before storing?,About 3 -10 days depending on theseason
general,for how long should I apply organic manure in my soil,Mainly once
cassava,for how long should I store my cassava,For planting it is about a week
maize,for how long should I take to spray my maize,Depends on what you are spraying
cassava,for how long should we use to apply manure in my cassava garden,During planting or after weeding
cassava,for how many times should I weed my cassava,Weeding is done every time there are many weeds in the garden but at least three times in the growing cycle
cassava,how can I control cassava diseases locally?,"By planting clean material, uprooting and burning diseased material"
beans,how long does it take beans to mature,Maximally 3 months
maize,how long should I keep my maize in store,About six months
cassava,how I can I store my cassava,In a clean moisture less place
cassava,how are cassava viruses caused,They spread through diseased planting material or by whiteflies
cassava,how are varieties of cassava got?,Through conventional plant breading
beans,how best can I get more yields in beans,Plant the right varieties
beans,how best can I remove bean seeds from the pod?,Dry the pods and thresh them
maize,how best can I transport maize?,it should be packed in sacks
maize,how can I control maize diseases in the garden?,"Plant early at the start of the season, practice crop-rotation, uproot or spray diseased plants"
maize,how can I store my maize,Store in good pico bags in a cool dry place making sure that pests do not tamper with the harvest
general,how can I locally test for soil fertility,Testing it in the near by laboratory or soil testing
cassava,how can I access cheaper labour for planting?,Human labour is cheaper
general,how can I access organic manure?,Use compost and rubbish from the home to make manure
cassava,how can I acquire cassava stems in time?,Make orders earlier before the period of planting reaches
maize,how can I apply fertilizer in My maize garden,Broadcasting or near the crop
beans,how can I apply fertilizer in my beans garden,Fertilisers can be applied before planting in the soil and on the foliar parts before flowering
cassava,how can I apply fertilizer in my cassava garden,You can broadcast or apply near the plant
general,how can I apply fertilizer in my garden,Apply around planting time in the soil and on the foliage at vegetative stage before flowering
maize,how can I apply fertilizer into the maize garden,Broadcasting or near the crop
maize,how can I apply organic mature in maize,Apply at the plant or around it
general,how can I apply the fertilizer in my garden,Apply around planting time in the soil and on the foliage at vegetative stage before flowering
cassava,how can I avoid cassava green mite,Before planting inspect and select materials free from disease and green mites. Also use good management practices.
beans,how can I avoid pest in beans,Good management practices
beans,how can I avoid selling at a loss?,Avoid selling immediately after a bumper harvest
cassava,how can I best control diseases in the garden?,Plant clean material
maize,how can I best dry my maize in rainy seasons?,Use a solar drier
beans,how can I best plant beans in dry weather?,By application of mulching and irrigation
general,how can I break seeds dormancy,Rub the seeds or roast them if required
cassava,how can I care for cassava in order to get good yields?,Use good seeds that are resistant to diseases and undertake good agricultural practices
general,how can I carry out crop management,Use recommended practices from agronomist
beans,how can I carry out germination test for beans,Select beans and plant in appropriate conditions. Calculate the percentage that germinates
general,how can I carry out mulching in my garden,Use grass and cover the soil
general,how can I carry out seed germination test,"Get a known number of seeds and place them in a moist place, count the number of those that germinated and those that didnt. Express it as a percentage"
maize,how can I carry out seed germination test in my maize,"Get a known number of seeds and place them in a moist place, count the number of those that germinated and those that didnt. Express it as a percentage"
general,how can I carry out seeds germination test,"Get a known number of seeds and place them in a moist place, count the number of those that germinated and those that didnt. Express it as a percentage"
maize,how can I conserve land for maize growing,Make sure you use better cropping methods
cassava,how can I control cassava bacteria blight,Use clean planting material
beans,how can I control grass hoper cutting the leaves of my beans,Use insecticides
maize,how can I control maize borer,Use insecticides or cultural control
maize,how can I control maize diseases that reduce the yeild,Good crop management in addition to using disease resistant varieties controls diseases
maize,how can I control maize. lethal necrosis,Use good agric practices and pesticides
maize,how can I control pest in my maize plant,Use pesticides and good farming practices
maize,how can I control pests in my maize garden,Use pesticides or appropriate methods of planting
maize,how can I control stinger in my maize garden,Spraying fungicides
cassava,how can I control weed s in my cassava garden,Use herbicides
cassava,how can I control weevils in my cassava,Use chemicals
maize,how can I control Birds eating my Maize grain?,Use nets and scare crows where possible guard the crop
cassava,how can I control Cassava green mite in my garden,Use recommended pesticides and cultural control practices
general,how can I control Fall army worm,Use insecticides
cassava,how can I control all the four cassava disease,Use clean planting material
maize,how can I control bacteria leaf blight on maize,Use recommended pesticides and cultural control practices
general,how can I control bacterial blight,Use resistant varieties
cassava,how can I control bacterial blight in cassava,"Weed removal, pruning of infected plant tissue, use balanced amounts of plant nutrients, allow fallow fields to dry in order to suppress disease"
beans,how can I control bean weevils,Use a good store
beans,how can I control bean weevils is in my store,Use pest control chemicals recommended in stores
beans,how can I control bird eating my bean flower?,Use scare crows
beans,how can I control black spots in beans pods,Use clean seed of disease resistant crops
beans,how can I control blight from beans,Use resistant varieties and good crop practices
beans,how can I control carterpilar eating my bean plants,Use reccomended pestcides and cultural control practices
cassava,how can I control cassava bacteria blight,Use good varieties
cassava,how can I control cassava bacterial blight,Use improved varueties and good crop management practices
cassava,how can I control cassava blight,Use improved varieties
cassava,how can I control cassava brown streak,Use clean planting material
cassava,how can I control cassava brown streak disease?,Use clean seed (stems) of CBSD tolerant varieties such as NAROCASS 1 and NASE 14
cassava,how can I control cassava green mite in my cassava,Before planting inspect and select materials free from disease and green mites. Also use good management practices.
cassava,how can I control cassava mealybugs,Use recommended pesticides and cultural control practices
cassava,how can I control cassava mosaic,Cassava mosaic disease is controlled by the use clean planting material of resistant varieties
cassava,how can I control cassava tuber rot,Plant in a clean field free from tree stumps
cassava,how can I control cassava weevil,use insecticides and store properly
cassava,how can I control cassava white flies in my cassava garden,Spray them or use resistant crops of the crop you are planting
beans,how can I control caterpillar eating the stem of my Bean plant,Use insecticides
beans,how can I control caterpillar eating the stem of my beans,Synthetic pesticeds and poweders can kill caterpillars but you can manually kill off the caterpillars also
beans,how can I control caterpillars during the flowering stage?,By spraying with pesticides
maize,how can I control caterpillars eating my maize?,Use resistant varieties and increase on water availability for crop vigor
maize,how can I control caterpillars from the maize garden?,Spray with chemicals
beans,how can I control coach grass in my beans garden,Spray with herbicide
cassava,how can I control coach grass in my cassava garden,Use herbicides
cassava,how can I control cough grass in cassava,Use the right herbicide which is recommended
maize,how can I control cut worms in my maize gardens,Use good management practices such as keeping the garden weed free and use insectcides
cassava,how can I control disease manifestation in cassava plant,Use clean planting material
beans,how can I control diseases and caterpillars in the garden?,"By spraying chemicals (pesticides), uprooting the diseased plants, using crop-rotation"
beans,how can I control diseases in beans?,By applying crop-rotation to break disease cycle
beans,how can I control diseases in my beans,Use good cropping practices
maize,how can I control diseases of maize,Doing constant weeding every time weeds show up in the gardens especially like two times during the plant growth cycle
cassava,how can I control diseases that attack the roots?,"By planting clean material, uprooting and burning diseased material"
cassava,how can I control diseases that make the cassava leaves fold?,Plant clean material
beans,how can I control flies in my beans,Use insecticides
beans,how can I control flies in my beans garden,Spray the flies or use cultural control methods
general,how can I control flies in my garden,Good crop management in addition to using disease resistant varieties controls diseases
maize,how can I control flies in my maize garden,Spraying using pesticides
beans,how can I control fungal disease in my beans,Use resistant varieties and increase on water availability for crop vigor
cassava,how can I control fusarium root in my Cassava,Remove old rooting plants
beans,how can I control grass hoppers from eating my beans,Spray before rains and when the day is not windy
beans,how can I control halo blight in my beans garden,40*30 cm or 30*70 cm depending on variety
maize,how can I control maize pests,Use good crop management practices and where possible use chemicals (pesticieds) to kill the pests
maize,how can I control maize smut,Use resistant varieties and increase on water availability for crop vigor
maize,how can I control maize weevil,"Good storage practices such as using Pico bags, storing on pallets and use of insectides when combined allow for better storage iof maize"
maize,how can I control maize weevils in my store,Take preventative steps through better management and storage and where possible use recommended insecticides. And other control strategies  
maize,how can I control maize weevils?,By storing maize in silos and by seed dressing the seeds to avoid breeding of pests
general,how can I control mealybugs,Use resistant varieties
cassava,how can I control mole rat in my cassava,Use traps or rodenticides
cassava,how can I control mole rat s in my cassava garden,Traps or rodenticide
cassava,how can I control my cassava stem during shine season,Put them under shade
cassava,how can I control my cassava stem from thief's,Put security
general,how can I control my garden tools from rusting,Use recommended pesticides and cultural control practices
maize,how can I control necuils in my maize garden?,Use insecticides
maize,how can I control needs in my maize,Use herbicides
general,how can I control over growth of weeds in my garden,Weed regularly when weeds are young
maize,how can I control peats in my maize garden,Use recommended pesticides and cultural control practices
cassava,how can I control pest and disease in cassava,Use resistant varieties or pesticides
general,how can I control pest and diseases in my garden,Use pesticides and good farming practices
beans,how can I control pest from attacking my beans,"A full cover spray with a systemic or contact insecticide, removal of all diseased plants, weeding in the first of growth"
maize,how can I control pest from my maize garden,Use pesticides and other control agents
general,how can I control pest in a garden,Controlling weeds and applying pest control chemicals will reduce pests in the gardens
cassava,how can I control pest in cassava,By spraying the garden with chemicals (pesticides)
maize,how can I control pest in maize garden,Use resistant verities and increase on water availability for crop vigor
maize,how can I control pest in my maize garden,Use resistant varieties and increase on water availability for crop vigor
general,how can I control pests and disease,Use good agric practices
cassava,how can I control pests and disease in my cassava garden,Use good crop management practices and where possible use chemicals (pesticieds) to kill the pests
maize,how can I control pests and diseases affecting my maize?,Use resistant varieties and increase on water availability for crop vigor
maize,how can I control pests and diseases in Maize,Use cultural methods like planting repellants
cassava,how can I control pests and diseases in cassava?,Use good crop management practices and where possible use chemicals (pesticides) to kill the pests
cassava,how can I control pests and diseases in my Cassava garden,Use resistant varieties or pesticides
maize,how can I control pests and diseases in the garden?,By spraying with chemicals (pesticides)
beans,how can I control pests and diseases like bean anthracnose and aphids in beans,Use good crop management practices and where possible use chemicals (pesticides) to kill the pests
maize,how can I control pests and diseases of maize,Use pesticides or appropriate methods of planting
beans,how can I control pests in beans garden,Use good agric practices
cassava,how can I control pests in cassava,Use resistant varieties and increase on water availability for crop vigor
maize,how can I control pests in maize,Use pesticides or appropriate methods of planting
beans,how can I control pests in my bean,Use good crop management practices and where possible use chemicals (pesticieds) to kill the pests
beans,how can I control pests in my beans garden,Use good crop management practices and where possible use chemicals (pesticieds) to kill the pests
cassava,how can I control rats in my Cassava store,Traps or rodenticide
cassava,how can I control rats in my cassava,Use rodenticdes or rat poison
beans,how can I control root rot in my beans garden,Treat seeds before planting and avoid stressful environments like drought in your garden
cassava,how can I control root rotting in beans,Ensure the garden is well prepared and use clean seed
cassava,how can I control rotting of beans,Use recommended pesticides and cultural control practices
general,how can I control seed dormancy,Harvest when mature and keep well
general,how can I control soil erosion in a stip,Terracing
general,how can I control soil erosion in hilly areas,Use terraces or mulches
general,how can I control soil erosion in my garden,Use terraces or mulches
general,how can I control spear grass in a garden,By spraying the weeds and also deep ploughing to cut and burn the grass
cassava,how can I control spear grass in my cassava,Use the right herbicide which is recommended
general,how can I control star grass in my garden,Use the right herbicide which is recommended
general,how can I control stem borers,Spray against stem borer caterpillars when they have attacked 2 to 3 in 10 plants. Spray when they are young caterpillars on leaves and funnels.
cassava,how can I control string in my cassava garden,"Strega can be controlled by using Strega free seeds, culturally by hand pulling or removal using hoes, you can also use resistant varieties"
maize,how can I control stringer in the maize garden,"Strega can be controlled by using Strega free seeds, culturally by hand pulling or removal using hoes, you can also use resistant varieties"
general,how can I control termites,Use termiticides on recommendation of the agric officer
maize,how can I control termites in my maize gardens,Use termiticides on reccomendation of the agric officer
maize,how can I control the cartepilar from eating the stem of my maize plant,Use herbicides or cultural control
beans,how can I control the caterpillars that control the beans when flowering?,By spraying using chemicals (pesticides)
maize,how can I control the caterpillars that eat the seeds on the comb?,By spraying with chemicals (pesticides)
beans,how can I control the caterpillars that eat the top part of the leaves?,By spraying using chemicals (pesticides)
beans,how can I control the common Blight in my beans,Use recommended pesticides and cultural control practices
general,how can I control the grasshopper that attack leaves of beans.,Use insecticides or cultural control
general,how can I control the pests of beans,Use good cropping practices
beans,how can I control the white caterpillars?,By spraying with chemicals (pesticides)
general,how can I control these caterpillars,Use insecticides
maize,how can I control these caterpillars forming on the leaves?,Spray with chemicals
maize,how can I control these caterpillars in the maize garden?,By spraying with chemicals (pesticides)
maize,how can I control these caterpillars that are eating the middle part of the maize plant?,Spray with chemicals
beans,how can I control these caterpillars which is making the bean leaves fold?,By spraying chemicals (pesticides)
beans,how can I control these long small caterpillars that are affecting beans?,By spraying with chemicals (pesticides)
maize,how can I control this green like caterpillar from the garden?,Spray with chemicals
maize,how can I control top rot in my maize growing,Use resistant varieties and increase on water availability for crop vigor
beans,how can I control weavile in my beans store,Take preventative steps through better management and storage and where possible use recommended insecticides
maize,how can I control weed in my maize garden,Use weed control chemicals or weeding
beans,how can I control weeds in My bean garden,Weed early or use herbicides
cassava,how can I control weevils in my cassava,Take preventative steps through better management and storage and where possible use recommended insecticides. And other control strategies  
beans,how can I control what is making the beans dry?,"Practice crop rotation, plant early and spray at the right time"
maize,how can I control white caterpillars digging out the maize seed after planting?,You can carry out soil drenching with pesticides or dress the seeds before planting
cassava,how can I control white fly in my cassava garden,Spray them or use resistant varieties
beans,how can I control yellowing in bean?,Use good cropping practices
maize,how can I control. termites in my maize garden,Use resistant varieties and increase on water availability for crop vigor
cassava,how can I detect good stems for planting?,"They should have no streaks, have buds, be mature enough"
cassava,how can I determine a good cassava species?,"it should be high yielding, matures early, resistant to pest and diseases etc"
maize,how can I determine a good maize seed for planting by seeing using my eyes?,"It should have no holes, no fungal growth and should be well dried"
cassava,how can I determine a good stem for planting?,It should be mature without any brown streaks and not damaged
beans,how can I determine good bean seeds for buying?,They should be well dried and should have no holes on them
beans,how can I determine good beans for planting?,By carrying out a seed germination test
general,how can I determine soil fertility off My Land,Test for nutreints in the soil
cassava,how can I determine that my cassava is ready for harvesting?,"It should have spent a year after planting, the roots should be big"
general,how can I differentiate loam soil from other types of soil,It is black and loaded with humus
maize,how can I drain off water in maize e,Use drainage channels
cassava,how can I dry cassava?,Dry your produce on tarpaulines or cement flor away from dust and grit that would contaminate them
beans,how can I dry my beans properly,Dry your produce on tarpaulines or cement floor away from dust and grit that would contaminate them
cassava,how can I easily protect cassava from animals?,By fencing the garden
maize,how can I get good. variety of maize,"buy certified disease-free seeds from research institutes like NARO/NaCRRI, buy from trusted seed sellers"
cassava,how can I get healthy cassava cutting for planting,NARO through district based cassava seed suppliers and OWC NAADS provides healthy cuttings
maize,how can I get a good estimate of yield from my garden?,"First know how big the garden is, then the spacing used while planting"
maize,how can I get a good market for maize?,"Supply to maize millers, animal feed processors, etc"
cassava,how can I get a good market for my cassava,"Urban consumption, rural consumption, exports using exporters etc, urban markets and cassava e-market platform"
maize,how can I get a good quality maize seeds,Buy from authorized dealer
cassava,how can I get clean cassava cutting for planting,Visit seed entrepreneurs and multipliers
maize,how can I get good harvest when in dry weather?,"By mulching, application of fertilizers and irrigation"
maize,how can I get good maize yields?,"Early palnting, timely weeding, timely spraying and appropriate spacing"
cassava,how can I get good market?,"Cassava processing factories, brewing companies"
maize,how can I get good quality of maize seeds for planting,Buy from approved seed dealers
cassava,how can I get good yields in prolonged drought?,"Use mulching, irrigation"
beans,how can I get good yields when it stops raining?,"Use mulching, irrigation, apply fertilizers"
maize,how can I get healthy maize for planting,Contact your district commercial officer or NARO
beans,how can I get high yeilds in beans?,"Through the application of organic manure, fertilizers"
cassava,how can I get high yields in a land which is tired of crops?,Apply manure and fertilizers
maize,how can I get market for maize?,Consult the maize millers
maize,how can I get quality maize for planting,From authorized seed dealers
beans,how can I get very many seeds on harvest when I plant beans?,"Ensure good agronomic practices like early planting, early weeding, proper control of pest and diseases."
beans,how can I grow without diseases affecting the beans?,Grow beans at the start of the first seasonal rains and spray with appropriate pesticides at the right time.
general,how can I handle the chemical for spraying,Use Protective Personal Equipment (PPE)
beans,how can I harvest beans,Manually Harvest when they have reached physiological maturity for fresh consumption and when they have dried to a moisture content of about 20 for drying and storage of grain
cassava,how can I harvest cassava,Uproot using hoes or harvesters
maize,how can I improve Maize seeds variety,Use clean seed of resistant varieties and good agronomic practice
beans,how can I improve beans seeds viability,Proper seed stroage
cassava,how can I improve cassava resistivity to diseases,Use clean seed of resistant varieties and good agronomic practice
cassava,how can I improve cassava variety,Use improved varieties from the right sources
beans,how can I improve fertility in the garden?,By applying organic manure and fertilizers
beans,how can I improve germination of beans seeds,Use viable seeds that are good and make sure you provide the right conditions
beans,how can I improve high yielding in beans,Add more fertilizers and use good seeds
maize,how can I improve maize yields?,"Early planting, application of fertilizers, timely spraying, etc"
beans,how can I improve on good quality beans,Grow them using good growing practices
general,how can I improve on mulching the garden,Use appropriate materials
general,how can I improve on the crop yield,Use good crop management practices and where possible use chemicals (pesticides) to kill the pests
general,how can I improve on the fertility of my soil,Use both organic and inorganic fertilizers and good management practices
beans,how can I improve on the variety of my beans,Use clean seed of resistant varieties and good agronomic practice
cassava,how can I improve soil fertility in my cassava garden,Add fertilizers and organic manure
general,how can I improve the fertility if my soil,Use organic and inorganic fertilizers
cassava,how can I improve the fertility of soil in my cassava garden?,Add fertilizers and organic manure
general,how can I improve the fertilizer of my soil,Add fertilizer and stop soil erosion
maize,how can I improve the yield of my maize,Use good seeds
beans,how can I improve varieties of beans for planting,Buy from a certified seed supplier
cassava,how can I improve varieties of cassava,By breeding
beans,how can I increase the yield of my beans,Use good varieties
maize,how can I keep the maize garden clean in rainy season?,By timely weeding
maize,how can I kill this caterpillar which is cutting maize from the ground?,Spray using pesticides
beans,how can I kill weeds in my beans garden,Weeding or using herbicides
beans,how can I know the fertilizer of my soil,"Using test kits , have a soil lab do tests for you"
beans,how can I know that My beans is dry for storage,Measure the mositure content if it is below 14%
beans,how can I know that a bean seed has a good germination rate?,By carrying out germination test
maize,how can I know that fall armyworms have attached my maize gardens,You see the green larvae/caterpillars in the garden
beans,how can I know that my beans dry for store,Measure their moisture content and make sure it is below 14%
beans,how can I know that my beans dry in store,Measure their moisture content and make sure it is below 14%
beans,how can I know that my beans is dry for storage,If the moisture content is below 20%
beans,how can I know that my beans is dry for store,Measure moisture content
beans,how can I know that my beans is ready dry for storage,Mature beans have pods changing from green color to yellowish or light colors before drying off to a light brown color
maize,how can I know that my maize is dry for storage,Measure the mositure content if it is below 14%
maize,how can I know that my maize is dry for store,When moisture contents reaches 14%
general,how can I know the fertility of my soil,Test for nutreints in the soil
general,how can I know the fertilizer,Testing it in the laboratory or soil testing
general,how can I know the fertilizer that contains urea,Read the instructions on the paper
general,how can I know the quality of soil,"Hand test; take a handful of soil and squeeze it. If it stays together, but crumbles when you poke it, the soil is loamy, which is good or use soil testing kit"
maize,how can I know when to harvest my maize?,When it has matured and has a moisture content of about 20%
beans,how can I maintain bean crops in the dry season?,By irrigating and also by application of fertilizers
beans,how can I maintain bean plants in the garden,Make sure they have no weed and are pest free
beans,how can I maintain beans in the dry seasons?,By application of mulching
beans,how can I maintain beans in the garden during dry weather?,Through application of mulching
cassava,how can I maintain cassava in dry seasons?,"Mulching, irrigation"
cassava,how can I maintain cassava in the garden?,"Ensure timely weeding, spraying with pesticides and uprooting diseased plants"
maize,how can I maintain maize in the dry seasons?,"By mulching, application of fertilizers and irrigation"
cassava,how can I maintain my crops like cassava from pests and diseases,Pesticides and cultural control procedures can be mixed to control pests
cassava,how can I maintain my soil to be better for growing cassava or beans,Add fertilizer and stop soil erosion
general,how can I make an organic manure,Use compost and rubbish from the home to make manure
general,how can I make compose manure,Burry household waste to make manure
general,how can I make organic manure,Use compost and rubbish from the home to make manure
beans,how can I make sure that my seeds are always available for planting?,"By storing them appropriately e.g, adquate drying and keep them in silos or when seed dressed to avoid storage pests."
beans,how can I make sure that the bean seeds germinate?,By braking seed dormancy prior to planting
general,how can I make the fertility of my soil,Add organic manure and fertilizers
cassava,how can I mantain my cassava healthy to maturity?,Taking control of diseases and weeds
general,how can I mention my garden,Weed regularly
beans,how can I over come drought?,"By application of mulching, irrigation and planting drought resistant seeds"
beans,how can I over come sunshine ?,By application of mulching
cassava,how can I plant a cassava stem in a way that prevents termites from attacking it?,First soak the stems in pesticides
beans,how can I plant beans cheaply at a less cost?,By practicing early planting and using locally available resources like home generated manure such as compost and cultural practices of fighting pests and diseases
beans,how can I plant beans in dry weather or season?,Through the application of irrigation and mulching
beans,how can I plant beans with less capital?,"Use your own generated seed, use home generated manure and do early planting"
beans,how can I plant beans without spraying?,Plant at the start of the rainy season but yields will be low without spraying
cassava,how can I plant cassava,1X1Meters spacing and 10 cm deep in the soil
beans,how can I plant in dry seasons?,"By application of mulching, irrigation and planting drought resistant seeds"
maize,how can I plant in dry weather?,Use mulching and irrigation
maize,how can I plant maize,First is by clearing the garden either by weeding or spraying herbicides then produre by digging pits with a spacing
maize,how can I plant maize in dry seasons?,"Use mulching, irrigation"
maize,how can I plant maize in hilly areas,Put terraces on the hill and plant maize along the terraces
maize,how can I plant seeds with a low germination rate?,Plant many seeds per hole
maize,how can I plant when there is less rain to avoid femine?,"Use mulching, irrigation, apply fertilizers"
maize,how can I prepare a garden for planting maize,Use good field free from seeds
maize,how can I prepare land for maize production,Use tractors or hoes
beans,how can I prepare my garden for planting?,Make a fine seed bed for planting beans
general,how can I prepare my garden for the new season,Use tractors
cassava,how can I prevent Cassava mosaic,Use improved varieties including NASE 1-19 and NAROCASS 1 and 2
cassava,how can I prevent animals from entering the garden?,By fencing the garden
beans,how can I prevent bean weevils in my store,Take preventative steps through better management and storage and where possible use recommended insecticides. And other control strategies  
maize,how can I prevent caterpillars and diseases from attacking maize?,"By spraying with pesticides,"
general,how can I prevent cockroaches in my Food store,Use pesticides or appropriate methods of storing
general,how can I prevent cut worms,Use good cropping practices such as rotation to stop the pest cycle
maize,how can I prevent digging pests and insects in the garden?,Soak the seeds with chemicals prior to planting
beans,how can I prevent diseases from attacking beans?,"By planting early, By practicing crop-rotation, etc"
maize,how can I prevent diseases in Maize,"Use of tolerant hybrids, adopt crop rotation, destruction of previous crop debris completely, deep ploughing and applying balanced dose of fertilizers"
cassava,how can I prevent long grass in my garden?,"By weeding in time, spraying using selective herbicides"
general,how can I prevent pest,Controlling weeds and applying pest control chemicals will reduce pests in the gardens an good storage conitions also controls pests
maize,how can I prevent pest and diseases in maize?,By spraying with pesticides and practising crop-rotation also helps to reduce on pests and diseases
maize,how can I prevent rats from digging out the seeds?,Soak the seeds with chemicals prior to planting
cassava,how can I prevent termites?,By soaking stems in pestcides before planting or by soil drenching using chemicals
beans,how can I prevent the bean seeds from getting holes?,"Apply seed dressing, keep dried seeds in silos"
maize,how can I prevent the caterpillars from eating the maize comb?,Spray the garden with pesticides
cassava,how can I prevent the spread of cassava diseases?,Use clean seed (stems) of CMD and CBSD tolerant varieties such as NAROCASS 1 and NASE 14
cassava,how can I prevent the yellowing of my Cassava,Use clean drought tolerant seeds
beans,how can I prevent weeds in a bean garden,Weed regularly when weeds are young
maize,how can I prevent weeds in maize garden,Weeding using hand hoes/ spraying selective herbicides
maize,how can I properly prepare a garden for planting maize?,Dig twice to break hard bigger soil lumps and remove all the rough residues
general,how can I reduce on crop loses during storage,Make sure you control pests and rodents
cassava,how can I remove spear grass totally from the garden?,By spraying using herbicides
maize,how can I remove the maize seed from the comb,Use a dehuller
cassava,how can I remove weeds in my cassava garden?,By spraying herbicides for large gardens and careful hand weeding for small gardens
beans,how can I repair beans whose flowers have shaded off before time?,By application of fertilizers appropriate for flowering but still follen flowers cannot be repaired
cassava,how can I repair cassava crops hit by hell stones?,Leave them to regenerate
maize,how can I retain water in maize garden,Use mulching
general,how can I select best seed for planting,Look for well grown seed with better size and shape
general,how can I select good seeds for planting,Do a germination test using water
beans,how can I select good seeds of beans for planting,"Buy certified disease-free seeds from research institutes like NARO/NaCRRI, buy from trusted seed sellers"
maize,how can I sell maize at a good price?,Avoid to sell immediately after the bumper harvest
maize,how can I sell my maize at a good price?,Avoid to sell immediatelly after a bumper harvest but wait and sell when most farmers have sold their maize
beans,how can I sell when the price is good enough?,By avoiding to sell beans when the farmers have just finished harvesting. At least wait for some time when most farmers have sold their produce and then you sell yours.
maize,how can I space Maize when intercropped with cassava,1X0.4 meters
maize,how can I space my maize,30X70 cm
